"	Year",Temperature
1989,29.2801
1989,29.4358
1989,29.9513
1989,28.4451
1989,23.6065
1989,18.3197
1989,14.1633
1990,13.5761
1990,13.7103
1990,16.746
1990,23.7878
1990,26.0788
1990,28.4395
1990,29.4772
1990,28.4986
1990,26.8761
1990,24.5337
1990,21.1319
1990,16.9923
1991,12.9289
1991,15.491
1991,19.2582
1991,24.47
1991,27.1655
1991,29.0437
1991,29.0902
1991,29.0556
1991,26.9016
1991,24.8556
1991,18.9169
1991,12.9087
1992,12.1295
1992,11.8459
1992,17.1186
1992,21.0524
1992,25.683
1992,29.9534
1992,29.2016
1992,29.8237
1992,26.6729
1992,25.3478
1992,18.1948
1992,12.4314
1993,11.7236
1993,12.5984
1993,17.2322
1993,23.2036
1993,26.1434
1993,29.0808
1993,29.4678
1993,30.2434
1993,27.6209
1993,26.2905
1993,20.5807
1993,15.5821
1994,14.8945
1994,14.6129
1994,17.3718
1994,23.7542
1994,26.8629
1994,28.336
1994,29.8713
1994,29.9483
1994,28.7303
1994,26.735
1994,18.0996
1994,12.993
1995,13.2772
1995,15.0229
1995,18.6545
1995,21.7842
1995,25.8415
1995,31.2898
1995,30.5849
1995,30.376
1995,29.2835
1995,24.7224
1995,17.3749
1995,14.289
1996,14.1336
1996,15.79
1996,18.4419
1996,21.6561
1996,28.5906
1996,28.5952
1996,29.7296
1996,30.2353
1996,29.828
1996,24.0261
1996,19.5815
1996,14.9468
1997,14.8813
1997,13.086
1997,16.6327
1997,21.4339
1997,27.0937
1997,29.7666
1997,30.5911
1997,30.0197
1997,27.5405
1997,24.4742
1997,19.5839
1997,14.3709
1998,13.7098
1998,15.4576
1998,16.3282
1998,24.3013
1998,27.8761
1998,28.6462
1998,30.7229
1998,31.6871
1998,29.3687
1998,25.6304
1998,19.9697
1998,15.0883
1999,14.261
1999,16.4146
1999,18.4895
1999,22.2757
1999,27.7328
1999,28.818
1999,30.4924
1999,31.0208
1999,29.2732
1999,25.5103
1999,20.1198
1999,15.5287
2000,13.2671
2000,13.7013
2000,16.8018
2000,23.5376
2000,26.4429
2000,28.2924
2000,30.6026
2000,29.7967
2000,28.3267
2000,23.4854
2000,19.4821
2000,15.1069
2001,14.1117
2001,14.5207
2001,20.8296
2001,23.5836
2001,27.2712
2001,28.7338
2001,30.5496
2001,31.2444
2001,29.0428
2001,24.1801
2001,19.0461
2001,14.8544
2002,12.2083
2002,16.4094
2002,19.7803
2002,22.9357
2002,26.6101
2002,28.8302
2002,31.5639
2002,31.2044
2002,29.7653
2002,25.2018
2002,20.2533
2002,15.1231
2003,15.2104
2003,13.8599
2003,16.3593
2003,23.1337
2003,28.0333
2003,30.1047
2003,30.4401
2003,30.8755
2003,28.5173
2003,25.9385
2003,20.0704
2003,14.5687
2004,13.699
2004,15.57
2004,19.5118
2004,22.7942
2004,28.1659
2004,29.04
2004,30.7192
2004,30.127
2004,27.9249
2004,25.5068
2004,20.0843
2004,14.7652
2005,13.9136
2005,16.2728
2005,18.9104
2005,22.9757
2005,26.3913
2005,29.3499
2005,30.618
2005,30.8932
2005,29.0012
2005,24.6341
2005,18.6825
2005,16.4068
2006,14.1886
2006,16.4915
2006,19.3053
2006,22.569
2006,26.6297
2006,30.0848
2006,29.9741
2006,31.6177
2006,29.2146
2006,24.9155
2006,17.6584
2006,13.9883
2007,13.2251
2007,15.6056
2007,18.7781
2007,22.9982
2007,27.7973
2007,30.0222
2007,30.6818
2007,30.9943
2007,27.6876
2007,25.7322
2007,19.9569
2007,15.0209
2008,12.6986
2008,14.003
2008,21.1575
2008,23.9156
2008,27.3388
2008,31.0571
2008,30.6751
2008,31.2322
2008,29.4881
2008,24.5898
2008,20.5207
2008,16.456
2009,15.0834
2009,16.0809
2009,17.7099
2009,24.0794
2009,26.0375
2009,30.3913
2009,30.952
2009,30.5014
2009,28.9509
2009,26.0952
2009,19.3817
2009,15.786
2010,16.3128
2010,18.3135
2010,21.1183
2010,24.4723
2010,27.4526
2010,30.833
2010,30.9999
2010,32.0617
2010,29.7523
2010,27.5666
2010,22.2285
2010,16.4476
2011,14.3635
2011,16.8211
2011,18.2107
2011,22.1619
2011,26.6127
2011,29.589
2011,30.9292
2011,30.4868
2011,28.3846
2011,24.0194
2011,16.7416
2011,13.8738
2012,12.2335
2012,15.2178
2012,17.3216
2012,24.1835
2012,28.0062
2012,30.718
2012,31.2556
2012,30.9873
2012,28.5425
2012,26.3025
2012,20.9322
2012,15.2685
2013,14.6126
2013,16.5196
2013,20.5024
2013,21.7601
2013,28.7015
2013,29.8774
2013,29.4199
2013,30.4264
2013,28.6863
2013,22.7661
2013,20.6566
2013,14.4408
2014,14.081
2014,16.3465
2014,18.1637
2014,24.5817
2014,27.6957
2014,29.7453
2014,30.8257
2014,31.0232
2014,29.1522
2014,24.6889
2014,19.6721
2014,15.8787
2015,12.8459
2015,15.9047
2015,20.2806
2015,21.5596
2015,27.5784
2015,29.4369
2015,30.4271
2015,31.5414
2015,30.1712
2015,26.7072
2015,20.1073
2015,13.8343
